"year_release","total_content"
"1939","1"
"1954","1"
"1957","1"
"1966","3"
"1972","2"
"1975","1"
"1977","4"
"1979","1"
"1980","1"
"1981","1"
"1983","2"
"1984","1"
"1985","1"
"1989","2"
"1990","3"
"1991","1"
"1992","4"
"1993","3"
"1994","6"
"1995","3"
"1997","6"
"1998","2"
"1999","11"
"2000","3"
"2001","6"
"2002","3"
"2003","4"
"2004","5"
"2005","9"
"2006","4"
"2007","12"
"2008","10"
"2009","6"
"2010","11"
"2011","14"
"2012","6"
"2013","13"
"2014","17"
"2015","8"
"2016","21"
"2017","17"
"2018","19"
"2019","17"
"2020","13"
"2021","10"
"2022","8"
"2023","1"
